In this evaluation the overall varaiance across each procedure was caluclated and ranked. The results below show the 10 
procedures with the highest variability across all hospitals. Not surprisingly five of the top ten with the highest varilabily 
involve the emergency room.

Procedure                                                                                       Variance
Median Time from ED Arrival to ED Departure for Admitted ED Patients                            8617.740839212507
Admit Decision Time to ED Departure Time for Admitted Patients                                  3864.6924460743544
Median Time from ED Arrival to ED Departure for Discharged ED Patients                          1656.5529409803205
Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate     869.0306968514053
Thrombolytic Therapy                                                                            481.98665882944397
Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received 
          Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival                    477.18888614639235
Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival                             352.6666666666667
Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival                                   325.74632352941165
Median Time to Pain Management for Long Bone Fracture                                           314.0819735739413
Median Time from ED Arrival to Provider Contact for ED patients                                 285.00371267017476


